序號,識別內容,X,Y,Width,Height,Confidence
567,AV C102,166,183,106,100,0.861
568,AV C105,281,184,106,102,0.848
569,AV C106,394,183,105,100,0.872
570,AV C107,510,183,108,101,0.828
571,AV C109,624,183,105,103,0.882
572,AV C110,738,183,108,100,0.861
573,AV C111,852,183,105,103,0.877
574,AV C112,966,182,106,101,0.867
575,AV C113,1080,183,105,103,0.837
576,AV C114,52,296,105,111,0.816
577,AV C201,166,296,109,111,0.901
578,AV C202,281,297,106,110,0.857
579,AV C203,394,296,107,111,0.907
580,O AV C204,510,297,110,112,0.846
581,AV C205,624,297,108,112,0.906
582,O AV C206,737,297,111,112,0.88
583,AV C207,852,296,106,111,0.894
584,O AV C208,966,296,110,111,0.904
585,AV C302,1081,297,106,111,0.852
586,AV C303,52,409,105,107,0.766
587,AV C304,166,410,110,104,0.829
588,AV C305,280,409,107,105,0.821
589,AV C306,394,410,109,104,0.836
590,AV C401,510,410,109,105,0.78
591,AV C402,624,410,107,105,0.844
592,AV C405,738,410,112,105,0.815
593,AV C406,853,410,106,105,0.843
594,AV C407,967,410,110,105,0.847
595,C AV C408,1081,410,106,104,0.808
596,AV C409,52,524,105,111,0.84
597,C AV D601,166,525,108,110,0.905
598,C AV N601,280,525,107,111,0.863
599,AV N603,395,525,108,110,0.911
600,AV N604,510,525,110,109,0.856
601,AV N605,624,525,107,110,0.906
602,AV N606,737,525,111,110,0.888
603,C AV N607,852,525,106,111,0.895
604,AV W201,966,525,110,110,0.91
605,AV W202,1080,525,107,111,0.861
606,AV W203,52,640,105,109,0.755
607,AV W204,166,640,108,106,0.832
608,AV W205,280,640,107,106,0.784
609,AV W206,395,641,108,106,0.843
610,AV W401,510,640,110,107,0.773
611,AV W402,624,641,107,108,0.842
612,AV W403,738,640,110,106,0.815
613,AV W404,852,641,106,109,0.823
614,BV A601,965,640,109,106,0.83
615,BV A602,1080,640,107,107,0.766
616,BV A603,52,753,104,108,0.84
617,BV N601,166,752,109,107,0.891
618,BV N602,280,753,106,109,0.865
619,BV N603,394,752,107,107,0.896
620,CV D601,510,753,110,107,0.838
621,CV N601,624,753,108,108,0.9
622,C CV N602,738,753,110,106,0.881
623,CV N603,852,753,106,108,0.892
624,CV W401,966,752,109,107,0.903
625,CV W402,1079,754,105,108,0.858
626,CV W403,52,869,105,111,0.803
627,CV W404,166,868,108,109,0.878
628,CV W405,280,869,107,109,0.834
629,MV C101,394,868,107,109,0.885
630,MV C102,510,869,110,110,0.829
631,MV C106,624,869,106,110,0.889
632,MV C107,738,869,110,110,0.857
633,MV C201,852,869,105,110,0.863
634,MV C202,966,868,108,109,0.881
635,MV C205,1080,869,107,109,0.827
636,MV C206,52,981,105,108,0.823
637,MV C301,167,980,107,105,0.869
638,C MV C302,281,981,107,107,0.841
639,MV C303,396,980,106,105,0.876
640,C MV C304,510,981,109,105,0.816
641,MV D601,625,981,106,107,0.881
642,O MV N401,740,981,109,106,0.872
643,MV N601,853,981,105,108,0.872
644,C MV W401,968,981,108,107,0.88
645,C NV N601,1079,982,105,108,0.851
646,NV W401,52,1097,105,112,0.847
647,NV W402,167,1097,108,110,0.905
648,RV A601,282,1097,109,111,0.864
649,RV A602,397,1097,108,110,0.918
650,RV A603,511,1097,111,112,0.866
651,RV N601,626,1097,106,111,0.911
652,RV N602,739,1097,109,111,0.898
653,RV N603,854,1097,107,111,0.893
654,AV C103,52,182,104,103,0.802
655,AV C104,166,183,106,100,0.858
656,AV C105,281,184,106,102,0.844
657,AV C106,395,183,104,100,0.876
658,AV C107,510,183,108,102,0.837
659,AV C108,624,183,105,103,0.886
660,AV C113,738,183,108,100,0.867
661,AV C114,852,184,105,102,0.871
662,AV C201,966,182,106,101,0.866
663,AV C202,1080,183,104,103,0.84
664,AV C203,52,296,105,111,0.814
665,AV C204,166,296,109,111,0.901
666,C AV C209,281,297,106,110,0.858
667,AV C210,394,296,107,111,0.908
668,O AV C211,510,297,110,112,0.85
669,AV C212,624,297,108,112,0.907
670,O AV C301,737,296,111,111,0.88
671,AV C302,852,296,106,111,0.892
672,O AV C303,966,296,110,111,0.904
673,AV C304,1081,297,106,111,0.852
674,AV C306,52,409,105,107,0.765
675,AV C401,166,410,110,104,0.829
676,AV C403,280,410,107,106,0.822
677,AV C404,394,410,109,104,0.836
678,AV C408,510,410,109,105,0.778
679,AV C409,624,410,107,105,0.843
680,C AV D601,738,410,112,105,0.816
681,O AV N101,852,410,105,105,0.846
682,AV N102,967,410,110,105,0.849
683,C AV N201,1081,410,106,104,0.807
684,AV N202,52,524,105,111,0.838
685,C AV N601,166,525,108,110,0.904
686,AV N602,280,525,107,110,0.862
687,AV N603,395,525,108,110,0.911
688,C AV W101,510,525,110,109,0.855
689,AV W102,624,525,107,110,0.909
690,O AV W201,737,525,111,110,0.889
691,C AV W202,852,525,106,110,0.895
692,AV W203,966,525,110,110,0.912
693,AV W204,1080,525,107,110,0.862
694,AV W205,52,640,105,109,0.756
695,AV W206,166,640,108,106,0.833
696,AV W401,280,640,107,106,0.782
697,AV W402,394,641,107,106,0.843
698,AV W403,510,640,110,107,0.776
699,AV W404,624,641,107,108,0.843
700,C AV W408,738,640,110,106,0.816
701,BV A601,852,641,106,109,0.821
702,BV A602,966,640,110,106,0.832
703,C BV A603,1080,641,107,108,0.766
704,BV N601,52,753,104,108,0.84
705,BV N604,166,752,109,107,0.891
706,BV N605,280,753,106,109,0.863
707,CV D601,395,752,108,107,0.898
708,CV N601,510,753,110,107,0.837
709,CV N603,624,753,108,108,0.9
710,CV T601,737,753,111,106,0.882
711,C CV W401,852,754,106,108,0.892
712,CV W402,966,752,109,107,0.904
713,CV W403,1080,754,106,108,0.859
714,CV W404,52,869,105,111,0.799
715,CV W405,166,869,108,110,0.876
716,MV C103,280,869,107,109,0.83
717,MV C104,394,868,107,109,0.885
718,MV C107,510,869,110,110,0.828
